Episode	EpReward	EpSteps	EpDist	DistHigh	AverageStepReward	StdStepReward	MaxStepReward	MinStepReward	AverageDeltaProg	StdDeltaProg	MaxDeltaProg	MinDeltaProg	TotalSteps	EpTime	TotalTime
49	-99.9999999999986	1000	0.60354805	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0006006377	0.28086567	3.686267	-2.1504002	45051	14.283730745315552	701.9434154033661
50	-99.9999999999986	1000	0.0044722855	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.021117e-06	0.44033098	9.751293	-1.9549451	46051	16.228818655014038	718.1732335090637
51	-99.9999999999986	1000	0.007192813	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	3.367901e-06	0.47779658	9.456503	-6.3552547	47051	15.701918125152588	733.8761520385742
52	-99.9999999999986	1000	0.0033755526	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	-1.7685518e-06	0.06433624	0.46910435	-0.36077726	48051	14.587872505187988	748.4665703773499
53	-99.9999999999986	1000	0.0026482227	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	-2.4759695e-06	0.06246033	0.434131	-0.259355	49051	15.01595950126648	763.4835343360901
54	-99.9999999999986	1000	0.0036940672	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.937613e-06	0.06474706	0.5663569	-0.3609893	50051	14.2698233127594	777.7543590068817
55	-99.9999999999986	1000	0.85095805	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0008479581	0.06930139	0.73826164	-0.32040158	51051	14.515239953994751	792.2706005573273
56	-99.9999999999986	1000	0.017552588	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.4916599e-05	0.38300565	8.830139	-2.1707292	52051	15.610010385513306	807.8826124668121
57	-99.9999999999986	1000	0.004117481	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.1309684e-06	0.252375	1.6885204	-5.0301137	53051	14.496009588241577	822.3796212673187
58	-99.9999999999986	1000	0.042777713	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	4.024601e-05	0.25925687	3.6341603	-1.3949691	54051	14.641653537750244	837.022275686264
59	-99.9999999999986	1000	0.8153368	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0008124179	0.16146459	3.6592252	-0.83956146	55051	14.81348466873169	851.8367614746094
60	-99.9999999999986	1000	1.4555604	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0014531037	0.4603921	8.977319	-5.865005	56051	15.46128535270691	867.299046754837
61	-99.9999999999986	1000	0.0037877841	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	2.5488139e-06	0.06411879	0.40796342	-0.27889085	57051	14.602477073669434	881.9025292396545
62	-99.9999999999986	1000	0.004750246	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	9.196326e-07	0.06526561	0.34488037	-0.33836213	58051	14.705017328262329	896.608546257019
63	-99.9999999999986	1000	0.026665572	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	2.5903657e-05	0.06321176	0.5171612	-0.31569517	59051	14.809059381484985	911.4186046123505
64	-99.9999999999986	1000	0.008758199	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	6.8702398e-06	0.14945553	0.86471385	-1.330189	60051	14.907825708389282	926.3264303207397
65	-99.9999999999986	1000	0.005829285	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	3.3484698e-06	0.40641603	9.308964	-1.3067398	61051	15.710875272750854	942.039306640625
66	-99.9999999999986	1000	0.0032895945	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	4.5603514e-07	0.19627368	2.0738978	-0.9632991	62051	14.342464208602905	956.3832743167877
67	-99.9999999999986	1000	1.0864038	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0010841707	0.27006322	3.0359373	-1.1934155	63051	14.837523698806763	971.2227973937988
68	-99.9999999999986	1000	0.0060022185	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	-1.401037e-06	0.0672002	0.49760106	-0.37097695	64051	14.472092628479004	985.6958935260773
69	-99.9999999999986	1000	0.017517803	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.4268674e-05	0.06328042	0.4058383	-0.2591824	65051	14.201442003250122	999.8993365764618
70	-99.9999999999986	1000	0.003920828	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.8526763e-06	0.06385255	0.46853346	-0.3526302	66051	14.939735651016235	1014.8400979042053
71	-99.9999999999986	1000	0.016021077	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.0772139e-05	0.06693395	0.6789346	-0.4235414	67051	14.577776432037354	1029.418875694275
72	-99.9999999999986	1000	0.014388518	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.0926038e-05	0.061752185	0.5256768	-0.33836213	68051	14.74980616569519	1044.1706819534302
73	-99.9999999999986	1000	2.0395753	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.002036398	0.30215526	3.3951082	-1.15195	69051	14.35664415359497	1058.528326511383
74	-99.9999999999986	1000	0.044892438	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	4.1827632e-05	0.060903966	0.3372929	-0.3010233	70051	14.455244064331055	1072.9845702648163
75	-99.9999999999986	1000	0.1329857	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.00013034415	0.14611137	2.7938619	-1.3567507	71051	14.558073043823242	1087.5446481704712
76	-99.9999999999986	1000	0.0043732333	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.3398528e-06	0.38907686	9.39676	-1.7334418	72051	15.281708478927612	1102.827360868454
77	-99.9999999999986	1000	0.0004422402	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	-1.6133189e-06	0.1872903	3.1363926	-1.3898476	73051	14.312076330184937	1117.1404385566711
78	-99.9999999999986	1000	0.0058352454	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	4.590824e-06	0.06321825	0.46831763	-0.2646662	74051	14.554360628128052	1131.6967985630035
79	-99.9999999999986	1000	1.9193009	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0019163353	0.18950729	3.3812861	-1.1980863	75051	14.556998491287231	1146.2557969093323
80	-99.9999999999986	1000	0.0066949753	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	4.1394233e-06	0.42459628	9.56368	-1.7769995	76051	15.717979669570923	1161.9757809638977
81	-99.9999999999986	1000	2.2873402	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0022832218	0.23420984	2.194528	-3.0673473	77051	14.785077095031738	1176.7618625164032
82	-99.9999999999986	1000	1.0862397	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0010850531	0.13124171	0.80211294	-2.6793995	78051	14.430542707443237	1191.1934051513672
83	-99.9999999999986	1000	0.002294969	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.7495901e-06	0.06478033	0.52470696	-0.27007738	79051	14.716218948364258	1205.9116246700287
84	-99.9999999999986	1000	1.5403259	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0015379176	0.39242554	8.986566	-1.0900954	80051	15.77952527999878	1221.6921498775482
85	-99.9999999999986	1000	0.01667294	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.426655e-05	0.44625786	9.648745	-5.4999905	81051	15.229125022888184	1236.922275543213
86	-99.9999999999986	1000	6.0334167	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.006028512	0.30186033	4.120674	-1.0896125	82051	14.934558391571045	1251.857834815979
87	-99.9999999999986	1000	3.3661826	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0033622046	0.5014167	9.847722	-5.974073	83051	16.85711169242859	1268.7169511318207
